post_type_id	post_id	parent_id	user_id
1	58181780		10583879
1	58077886		6533037
1	32420848		1456751
1	7490488		773263
1	57862243		10452965
1	3654295		434269
1	57699677		11991225
1	5397726		413225
1	6228581		181691
1	25773605		2378579
1	57151906		11533467
1	56959742		10260104
1	4626732		398431
1	56689608		3854365
1	3784306		455676
1	56592786		11123254
1	56508564		9860030
1	56454426		3004909
1	4120589		326544
1	55926319		9772227
1	55677890		10570973
1	51347759		10083779
1	23955393		1183662
1	17193597		2451357
1	54987811		10047927
1	54850622		9398461
1	54769915		10749565
1	31294198		4097626
1	54531191		10990694
1	54472234		3560705
1	46118002		2942439
1	54199330		10916956
1	53865108		6532208
1	53668933		10449848
1	53624661		4493253
1	53513804		7316513
1	53472322		7636813
1	53453789		user9819807
1	34440610		5703969
1	53450937		user9819807
1	53357628		9505581
1	53301418		9792447
1	53175473		3108455
1	44092218		1330199
1	52688200		10366695
1	52449597		5927506
1	52215089		10073627
1	52003676		4049399
1	39902121		4784242
1	51572199		6826428
1	25287224		1662139
1	51467248		10071131
1	51337190		6265376
1	51207981		4608052
1	50772534		9917480
1	50763702		9704066
1	50738729		8780639
1	50555938		9104862
1	50523872		9842097
1	1125730		98514
1	2768314		332726
1	50171948		8821554
1	50153570		5199242
1	49907331		5445432
1	26427495		4154013
1	49539690		9565292
1	49525723		user8717594
1	49356593		6384453
1	48782025		8850956
1	48539242		user9186735
1	48509763		7007462
1	48457406		9271226
1	48452624		1744104
1	48450407		9191897
1	48376458		1830228
1	48416314		1994782
1	25141165		2536680
1	47821200		7804896
1	47692807		8881376
1	46588527		6809545
1	47301280		7384795
1	4033282		454580
1	46842919		7955781
1	3286411		382456
1	46604557		8504877
1	46532092		user8553212
1	46444379		7545102
1	46424204		8457060
1	45234229		5701299
1	46310792		8163679
1	46179391		1636199
1	46174405		4879275
1	14354399		1850771
1	45921642		8517377
1	34503782		5725233
1	45726164		8420154
1	45651062		7698411
1	45421608		7441072
1	45411316		7084148
1	29970614		4232109
1	45331773		6670352
1	44995654		4460748
1	44921931		5744719
1	44908797		5660293
1	44885411		2090453
1	44827426		8091553
1	44508636		643850
1	44307388		8031245
1	44148495		8056986
1	44108529		4060544
1	43540435		6807761
1	43973028		4169959
1	43932535		5742373
1	43831972		7174626
1	24549298		3800879
1	43771871		2452680
1	43748054		7563035
1	43675964		7739846
1	43630785		2405057
1	43532630		1052827
1	43112206		148496
1	43182510		5500423
1	43179265		7715167
1	24566732		807146
1	16074347		2104008
1	5168390		457021
1	42766763		7396073
1	42772698		3428842
1	42698531		3322798
1	42634210		2541634
1	42252807		6344946
1	42198007		3102394
1	42188016		3936743
1	42140219		6405037
1	42137778		5820626
1	41816668		1775416
1	41763966		7446306
1	41591281		7337033
1	41536557		4905918
1	25388337		3957158
1	41411841		2347438
1	41377988		3511855
1	41355557		6844462
1	41338500		5841824
1	41335245		6692958
1	41329572		5841824
1	1032674		127212
1	40708295		4568553
1	40693030		3146706
1	40694640		6766622
1	40572909		4025891
1	8891937		1127709
1	40446315		5134249
1	40319457		3887956
1	40190635		6149906
1	40153053		2348057
1	40149806		7034484
1	40072929		7026395
1	40111427		6733315
1	39923200		6303439
1	39788913		1315422
1	39616242		2417624
1	9964001		1298102
1	39354773		718990
1	39112121		6510101
1	39051564		4223447
1	38987301		6238684
1	32681217		5219247
1	32961451		4489015
1	38337799		2782001
1	38162911		6115599
1	21874543		3147180
1	37748374		3592801
1	37729388		6312672
1	37631788		2356951
1	37514195		5585069
1	37498887		6381081
1	35652384		1477313
1	37296199		3686600
1	37382653		3764131
1	37302524		5577299
1	37004771		5886524
1	37024760		4021297
1	36934704		5339881
1	36903893		1803347
1	36846659		2687790
1	36810581		1760937
1	36810169		6167229
1	36657788		4899935
1	36627931		6202097
1	36615005		2347311
1	36436557		5499756
1	5845121		732825
1	36169737		4225893
1	36127500		175553
1	36111359		4404014
1	36051234		5263934
1	35788215		4395287
1	35960206		6054402
1	35661868		4497203
1	35412242		5849103
1	34761824		3671129
1	34666506		5759419
1	34475982		3934359
1	20321521		905513
1	18367745		1873432
1	9918065		1064660
1	29022830		4586728
1	9149139		376947
1	34353433		5694681
1	30389724		3160747
1	34003755		3581013
1	33897981		2009171
1	33882921		3115767
1	33924098		3115767
1	33874059		3042117
1	33570598		5386041
1	33258134		300118
1	33191012		3893380
1	12891547		1658485
1	33181177		4181097
1	30271854		4725592
1	33046941		1687621
1	32945904		5409375
1	32760496		2218579
1	32691272		1234941
1	32480679		2941926
1	32472760		5303834
1	32470694		4924943
1	32393694		5299903
1	32381588		3431074
1	32326412		3497351
1	32138089		3850265
1	32095460		1935441
1	32028713		5230814
1	31577067		3120665
1	31877116		5192376
1	31651800		2128154
1	31626337		1294131
1	31554308		2120512
1	31540855		5119670
1	31560554		1665771
1	31298587		1986818
1	31201319		1417147
1	31157568		5064214
1	31071318		1314503
1	30859761		1673463
1	30634219		4877042
1	30608588		3751899
1	30555549		3436467
1	30379096		2282217
1	30370703		4866176
1	30293778		user4893864
1	30281507		4901528
1	30029269		3085990
1	29958588		989440
1	29884669		2348091
1	29857089		4830206
1	29411068		4706639
1	29504165		1376247
1	29361781		4427841
1	29291764		4535540
1	11921762		1254256
1	1115835		136998
1	28864377		4633951
1	29095606		1606597
1	29088509		4018957
1	29069886		3408097
1	28891788		4639383
1	2667215		156532
1	28883579		3398804
1	28780810		3805018
1	28721862		4270833
1	28633349		1014588
1	28443132		4111907
1	28268776		1659270
1	28215175		4076516
1	28182311		4500812
1	28103175		3713884
1	28065246		3169151
1	28033522		4373348
1	27962408		3036943
1	23725573		3650385
1	27726189		2431414
1	27674111		2665827
1	27520392		1983247
1	24236424		840461
1	27421286		3489744
1	4445984		310429
1	27119806		3186701
1	26918339		1157244
1	26798264		1672131
1	26762107		4067450
1	26747260		462627
1	26698646		2415293
1	26692790		4200311
1	26228664		2746365
1	26609880		979331
1	10835101		644978
1	26452668		4132432
1	26449973		4132432
1	26401138		3034235
1	26332681		2172594
1	26163203		1283970
1	26128573		3775989
1	26090615		3358149
1	26044105		2217167
1	25834101		2332746
1	25611904		1494102
1	25500952		2532203
1	5023664		193376
1	25349793		1951217
1	25053071		1188826
1	24814497		3168230
1	24692442		701363
1	24467255		3785969
1	24452648		3783161
1	5972863		677756
1	24113965		3334483
1	23919403		3684316
1	9895450		634772
1	23768837		3528831
1	23635987		1261507
1	23595287		user3620904
1	23597292		1327337
1	23531173		119540
1	23479585		3605495
1	20847384		3139921
1	21404451		3244244
1	23362807		1741042
1	23347025		1250527
1	23314856		2662387
1	23292407		3572808
1	23282814		3476944
1	21933131		3332590
1	23128030		3539894
1	23076896		2850618
1	21094184		1907444
1	22730461		1682826
1	18170736		2671228
1	22859210		2763680
1	22768535		1501582
1	22671841		2300604
1	22590281		3451964
1	22273051		2110565
1	21962376		1033882
1	21933871		3062543
1	21850020		3166364
1	21687555		1853114
1	21649840		3112869
1	7076495		300118
1	21525985		2164671
1	21401255		1977569
1	21267727		993106
1	21326068		723618
1	21225227		3213525
1	21171660		1292738
1	4975862		289080
1	21018813		3116334
1	20997393		892490
1	20889702		751564
1	20880149		3106292
1	20848612		615395
1	20813850		2708493
1	20769894		1947848
1	20768395		3129635
1	20744721		2277139
1	20630852		1061008
1	20702105		1143597
1	20681869		3119165
